AccelerometerEvent sender: /android/brenner, time: 1341234148916, x:  0.130904078484, y:  0.944658458233, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148916, x:  0.130904078484, y:  0.944658458233, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148956, x:  0.133834764361, y:  0.946612298489, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148989, x:  0.133834764361, y:  0.946612298489, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234150004, x:  0.127973392606, y:  0.946612298489, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234150004, x:  0.127973392606, y:  0.946612298489, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234150008, x:  0.127973392606, y:  0.946612298489, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234150037, x:  0.128950282931, y:  0.947589218616, z:  0.077174790204
AccelerometerEvent sender: /android/brenner, time: 1341234150071, x:  0.128950282931, y:  0.947589218616, z:  0.077174790204
AccelerometerEvent sender: /android/brenner, time: 1341234150077, x:  0.126019597054, y:  0.947589218616, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234150117, x:  0.126996502280, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234150133, x:  0.126996502280, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234150157, x:  0.131880968809, y:  0.945635437965, z:  0.084989957511
