800,,,,,,
scooping,4050,4070,,,,
ACCEL,2011-03-16 17:14:11.877,1,2776,28.51172,0.5234375,64.43359
ACCEL,2011-03-16 17:14:11.897,1,2777,0.7109375,58.03906,0.4335938
ACCEL,2011-03-16 17:14:11.917,1,2778,0,0.3359375,-0.953125
ACCEL,2011-03-16 17:14:11.937,1,2779,0.078125,0.3007813,-0.9179688
ACCEL,2011-03-16 17:14:11.813,1,2772,20.625,1.148438,-127.3438
ACCEL,2011-03-16 17:14:11.833,1,2773,2.777344,104.625,2.460938
ACCEL,2011-03-16 17:14:11.853,1,2774,48.60156,2.148438,24.625
ACCEL,2011-03-16 17:14:11.873,1,2775,1.023438,4.585938,0.3359375
ACCEL,2011-03-16 17:14:11.893,1,2776,28.51172,0.5234375,64.43359
ACCEL,2011-03-16 17:14:11.913,1,2777,0.7109375,58.03906,0.421875
ACCEL,2011-03-16 17:14:11.933,1,2778,0,0.3359375,-0.953125
ACCEL,2011-03-16 17:14:11.953,1,2779,0.078125,0.3007813,-0.9179688
ACCEL,2011-03-16 17:14:11.844,1,2772,20.625,1.148438,-127.3438
ACCEL,2011-03-16 17:14:11.864,1,2773,2.777344,104.625,2.460938
ACCEL,2011-03-16 17:14:11.884,1,2774,48.60156,2.148438,24.625
ACCEL,2011-03-16 17:14:11.904,1,2775,1.023438,4.585938,0.3359375
ACCEL,2011-03-16 17:14:11.924,1,2776,28.51172,0.5234375,64.43359
ACCEL,2011-03-16 17:14:11.944,1,2777,0.7109375,58.03906,0.453125
ACCEL,2011-03-16 17:14:11.964,1,2778,0,0.3359375,-0.953125
ACCEL,2011-03-16 17:14:11.984,1,2779,0.078125,0.3007813,-0.9179688
ACCEL,2011-03-16 17:14:11.875,1,2772,20.625,1.148438,-127.3438
ACCEL,2011-03-16 17:14:11.895,1,2773,2.777344,104.625,2.460938
ACCEL,2011-03-16 17:14:11.915,1,2774,48.60156,2.148438,24.625
ACCEL,2011-03-16 17:14:11.935,1,2775,1.023438,4.585938,0.3359375
ACCEL,2011-03-16 17:14:11.955,1,2776,28.51172,0.5234375,64.43359
ACCEL,2011-03-16 17:14:11.975,1,2777,0.7109375,58.03906,0.3867188
ACCEL,2011-03-16 17:14:11.995,1,2778,0,0.3359375,-0.953125
ACCEL,2011-03-16 17:14:12.015,1,2779,0.078125,0.3007813,-0.9179688
ACCEL,2011-03-16 17:14:11.906,110,457,0.08984375,0.2109375,-0.7851563
ACCEL,2011-03-16 17:14:11.926,110,458,0.109375,0.1484375,-0.7304688
ACCEL,2011-03-16 17:14:11.946,110,459,0.1640625,0.1132813,-0.6914063
ACCEL,2011-03-16 17:14:11.966,110,460,0.2304688,0.09765625,-0.6484375
ACCEL,2011-03-16 17:14:11.986,110,461,0.3085938,0.07421875,-0.59375
ACCEL,2011-03-16 17:14:12.006,110,462,0.3867188,0.05078125,-0.5820313
ACCEL,2011-03-16 17:14:12.026,110,463,0.5039063,0.01171875,-0.5507813
ACCEL,2011-03-16 17:14:12.046,110,464,0.6210938,0.01171875,-0.5117188
ACCEL,2011-03-16 17:14:11.985,1,2780,76.34766,0.9609375,-127.707
ACCEL,2011-03-16 17:14:12.005,1,2781,1.027344,-87.69531,1.402344
ACCEL,2011-03-16 17:14:12.025,1,2782,-123.7617,0.3398438,-91.80859
ACCEL,2011-03-16 17:14:12.045,1,2783,0.6523438,-95.85156,0.6523438
ACCEL,2011-03-16 17:14:12.065,1,2784,-99.90625,0.2773438,-35.94922
ACCEL,2011-03-16 17:14:12.085,1,2785,1.214844,-72.1875,0.3984375
ACCEL,2011-03-16 17:14:12.105,1,2786,0,0.01171875,-0.5507813
ACCEL,2011-03-16 17:14:12.125,1,2787,0.6210938,0.01171875,-0.5117188
ACCEL,2011-03-16 17:14:12.063,110,465,0.7421875,0.01953125,-0.484375
ACCEL,2011-03-16 17:14:12.083,110,466,0.8476563,0.00390625,-0.4570313
ACCEL,2011-03-16 17:14:12.103,110,467,0.9375,-0.00390625,-0.4453125
ACCEL,2011-03-16 17:14:12.123,110,468,1,0.01953125,-0.3320313
ACCEL,2011-03-16 17:14:12.143,110,469,1.050781,0.03515625,-0.171875
ACCEL,2011-03-16 17:14:12.163,110,470,1.078125,0.05078125,-0.0703125
ACCEL,2011-03-16 17:14:12.183,110,471,1.121094,0.1289063,0.4375
ACCEL,2011-03-16 17:14:12.203,110,472,1.152344,0.08203125,0.125
ACCEL,2011-03-16 17:14:12.219,110,473,1.132813,0.140625,0.3632813
ACCEL,2011-03-16 17:14:12.239,110,474,1.132813,0.1914063,0.4179688
ACCEL,2011-03-16 17:14:12.259,110,475,1.160156,0.234375,0.5117188
ACCEL,2011-03-16 17:14:12.279,110,476,1.15625,0.2460938,0.5820313
ACCEL,2011-03-16 17:14:12.299,110,477,1.132813,0.2304688,0.6015625
ACCEL,2011-03-16 17:14:12.319,110,478,1.078125,0.203125,0.5976563
ACCEL,2011-03-16 17:14:12.339,110,479,1.039063,0.1875,0.6210938
ACCEL,2011-03-16 17:14:12.359,110,480,0.9882813,0.171875,0.6210938
ACCEL,2011-03-16 17:14:12.371,110,481,0.953125,0.1757813,0.5976563
ACCEL,2011-03-16 17:14:12.391,110,482,0.921875,0.1796875,0.6132813
ACCEL,2011-03-16 17:14:12.411,110,483,0.875,0.140625,0.5859375
ACCEL,2011-03-16 17:14:12.431,110,484,0.8085938,0.09375,0.5546875
ACCEL,2011-03-16 17:14:12.451,110,485,0.765625,0.046875,0.53125
ACCEL,2011-03-16 17:14:12.471,110,486,0.7382813,0.01953125,0.5039063
ACCEL,2011-03-16 17:14:12.491,110,487,0.7382813,0,0.4726563
ACCEL,2011-03-16 17:14:12.511,110,488,0.7539063,0.00390625,0.453125
ACCEL,2011-03-16 17:14:12.531,110,489,0.7929688,-0.00390625,0.375
ACCEL,2011-03-16 17:14:12.469,1,2804,-84.32031,0.7773438,-116.3359
ACCEL,2011-03-16 17:14:12.489,1,2805,0.6523438,-108.3789,0.7148438
ACCEL,2011-03-16 17:14:12.509,1,2806,-88.42578,1.089844,119.5508
ACCEL,2011-03-16 17:14:12.529,1,2807,1.148438,123.5234,0.5234375
ACCEL,2011-03-16 17:14:12.549,1,2808,107.5273,0.3984375,99.52344
ACCEL,2011-03-16 17:14:12.569,1,2809,0.5234375,13.49219,0.40625
ACCEL,2011-03-16 17:14:12.589,1,2810,0,0,0.4726563
ACCEL,2011-03-16 17:14:12.609,1,2811,0.7539063,0.00390625,0.453125
ACCEL,2011-03-16 17:14:12.531,110,490,0.828125,-0.02734375,0.3203125
ACCEL,2011-03-16 17:14:12.551,110,491,0.8554688,-0.05859375,0.3046875
ACCEL,2011-03-16 17:14:12.571,110,492,0.875,-0.0859375,0.3085938
ACCEL,2011-03-16 17:14:12.591,110,493,0.9023438,-0.09375,0.3007813
ACCEL,2011-03-16 17:14:12.611,110,494,0.9335938,-0.08203125,0.2304688
ACCEL,2011-03-16 17:14:12.631,110,495,0.9921875,-0.06640625,0.1679688
ACCEL,2011-03-16 17:14:12.651,110,496,1.023438,-0.05078125,0.1796875
ACCEL,2011-03-16 17:14:12.671,110,497,1.023438,-0.05078125,0.1953125
ACCEL,2011-03-16 17:14:12.625,1,2812,79.49609,0.4609375,71.47656
ACCEL,2011-03-16 17:14:12.645,1,2813,0.2109375,35.45703,63.77344
ACCEL,2011-03-16 17:14:12.665,1,2814,3.433594,63.71094,15.38672
ACCEL,2011-03-16 17:14:12.685,1,2815,0.0859375,15.36328,63.89844
ACCEL,2011-03-16 17:14:12.705,1,2816,-4.632813,63.33203,-40.65234
ACCEL,2011-03-16 17:14:12.725,1,2817,62.95703,86.23438,0.3789063
ACCEL,2011-03-16 17:14:12.745,1,2818,0,-0.05078125,0.1796875
ACCEL,2011-03-16 17:14:12.765,1,2819,1.023438,-0.05078125,0.1953125
ACCEL,2011-03-16 17:14:12.703,110,498,1.039063,-0.0703125,0.1132813
ACCEL,2011-03-16 17:14:12.723,110,499,1.097656,-0.03515625,0.0390625
ACCEL,2011-03-16 17:14:12.743,110,500,1.113281,-0.015625,-0.0703125
ACCEL,2011-03-16 17:14:12.763,110,501,1.089844,-0.01171875,-0.0703125
ACCEL,2011-03-16 17:14:12.783,110,502,1.101563,-0.015625,0.0390625
ACCEL,2011-03-16 17:14:12.803,110,503,1.148438,-0.0078125,-0.015625
ACCEL,2011-03-16 17:14:12.823,110,504,1.097656,0.0546875,-0.1835938
ACCEL,2011-03-16 17:14:12.843,110,505,1.121094,0.04296875,-0.3046875
ACCEL,2011-03-16 17:14:12.790,1,2820,-44.69531,62.76953,-68.71094
ACCEL,2011-03-16 17:14:12.810,1,2821,62.70703,-72.72656,62.70703
ACCEL,2011-03-16 17:14:12.830,1,2822,-96.75781,62.45703,-104.7656
ACCEL,2011-03-16 17:14:12.850,1,2823,62.51953,119.2383,62.14063
ACCEL,2011-03-16 17:14:12.870,1,2824,-106.5391,0.4296875,0
ACCEL,2011-03-16 17:14:12.890,1,2825,1.148438,-0.0078125,-0.015625
ACCEL,2011-03-16 17:14:12.860,110,506,1.121094,0.0546875,-0.2460938
ACCEL,2011-03-16 17:14:12.880,110,507,1.097656,0.0625,-0.328125
ACCEL,2011-03-16 17:14:12.900,110,508,1.089844,0.0703125,-0.3671875
ACCEL,2011-03-16 17:14:12.920,110,509,1.058594,0.09375,-0.3789063
ACCEL,2011-03-16 17:14:12.940,110,510,1.035156,0.1171875,-0.4257813
ACCEL,2011-03-16 17:14:12.960,110,511,1.011719,0.15625,-0.4921875
ACCEL,2011-03-16 17:14:12.980,110,512,0.96875,0.171875,-0.5273438
ACCEL,2011-03-16 17:14:13.000,110,513,0.9375,0.1875,-0.5625
ACCEL,2011-03-16 17:14:12.902,1,2826,91.19922,61.82813,75.18359
ACCEL,2011-03-16 17:14:12.922,1,2827,61.32813,47.15625,61.32813
ACCEL,2011-03-16 17:14:12.942,1,2828,43.16016,61.57813,35.19531
ACCEL,2011-03-16 17:14:12.962,1,2829,61.32813,19.21484,61.64063
ACCEL,2011-03-16 17:14:12.982,1,2830,-4.839844,60.82422,-24.83594
ACCEL,2011-03-16 17:14:13.002,1,2831,60.82422,-12.85156,61.19922
ACCEL,2011-03-16 17:14:13.022,1,2832,117.7383,0.4570313,0
ACCEL,2011-03-16 17:14:13.042,1,2833,0.9375,0.1875,-0.5625
ACCEL,2011-03-16 17:14:13.062,1,2834,-15.77734,66.42188,0
ACCEL,2011-03-16 17:14:12.996,110,514,0.890625,0.203125,-0.6210938
ACCEL,2011-03-16 17:14:13.016,110,515,0.9804688,0.109375,-0.6992188
ACCEL,2011-03-16 17:14:13.036,110,516,0.8632813,0.1914063,-0.7929688
ACCEL,2011-03-16 17:14:13.056,110,517,0.8320313,0.234375,-0.796875
ACCEL,2011-03-16 17:14:13.076,110,518,0.7695313,0.2304688,-0.796875
ACCEL,2011-03-16 17:14:13.096,110,519,0.6210938,0.234375,-0.8789063
ACCEL,2011-03-16 17:14:13.116,110,520,0.5507813,0.2265625,-0.96875
ACCEL,2011-03-16 17:14:13.136,110,521,0.5039063,0.2734375,-0.9140625
ACCEL,2011-03-16 17:14:13.156,110,522,0.3671875,0.3320313,-0.9296875
ACCEL,2011-03-16 17:14:13.188,110,523,0.2148438,0.3554688,-1
ACCEL,2011-03-16 17:14:13.208,110,524,0.1015625,0.3476563,-1.015625
ACCEL,2011-03-16 17:14:13.228,110,525,0.02734375,0.3515625,-1.003906
ACCEL,2011-03-16 17:14:13.248,110,526,0,0.3476563,-0.984375
ACCEL,2011-03-16 17:14:13.268,110,527,-0.01171875,0.3242188,-0.9765625
ACCEL,2011-03-16 17:14:13.288,110,528,-0.0546875,0.3125,-0.9140625
ACCEL,2011-03-16 17:14:13.308,110,529,-0.0703125,0.2734375,-0.84375
ACCEL,2011-03-16 17:14:13.328,110,530,-0.0390625,0.2265625,-0.78125
ACCEL,2011-03-16 17:14:13.328,110,531,0,0.1757813,-0.6757813
